respondent_id;Gusta_Riesgo;Licencia;Amigos_Moto;Familiares_Moto;Genero;Edad;Posición_Jefe_hogar;Posición_Hijo;Posición_Pareja;Ocupación_Independiente;Ocupación_Estudiante;Ocupación_Hogar;Ingreso_Personal;Ingreso_Norm_Personas;Estrato;Menores_16;Mayores_65;Nivel_Estudio;Vehículos;Otros_Licencia;Edad_18_40;Hombre_18_40
13119037278;1;1;1;1;0;23;1;0;0;1;0;0;1.164;0.6;2;1;0;3;1;1;1;0
13119057105;3;1;1;1;0;28;0;1;0;0;0;0;4.2;3;4;0;1;4;1;1;1;0
13119062193;4;1;0;1;1;30;1;0;0;0;0;0;3;0.7;4;1;1;4;1;1;1;1
13119073318;2;0;1;1;0;28;0;0;1;0;0;0;1.75;0.45;2;1;0;3;0;1;1;0
13119070130;2;0;0;0;0;19;0;0;0;0;0;0;0.5;0.166;4;1;1;2;0;0;1;0
13119049004;1;1;1;1;1;34;0;0;1;0;0;1;1.164;2.925;3;1;1;3;1;1;1;1
13119058556;4;1;1;1;0;31;1;0;0;0;0;0;1.75;0.388;3;1;0;4;1;0;1;0
13119043352;3;0;1;0;0;19;0;0;0;0;1;0;0.5;0.321428571;2;1;1;2;1;1;1;0
13119044429;3;1;1;1;1;25;0;0;1;0;0;0;1.164;1.125;2;0;0;3;1;1;1;1
13119064046;4;1;1;0;1;50;1;0;0;1;0;0;1.75;0.875;3;0;1;5;1;0;0;0
13119056235;4;0;1;1;0;18;0;0;0;0;1;0;0.5;0.125;2;0;1;3;1;1;1;0
13119056006;2;0;1;1;0;22;1;0;0;1;0;0;1.164;0.7;2;1;0;3;1;1;1;0
13119044221;3;1;1;1;0;33;0;0;1;0;0;0;1.164;0.5625;1;1;0;4;1;1;1;0
13119069059;4;0;1;1;0;20;0;1;0;0;1;0;0.5;0.332;4;0;0;3;0;1;1;0
13119060086;2;1;1;1;1;34;1;0;0;0;0;0;1.164;0.45;4;1;0;2;1;1;1;1
13119070083;3;1;1;0;1;33;1;0;0;1;0;0;2.25;0.664;3;0;0;4;1;0;1;1
13119041183;3;0;1;1;1;19;0;1;0;0;1;0;0.664;0.291;2;1;1;3;1;1;1;1
13119058391;3;1;0;1;0;19;0;0;1;0;0;0;0.664;0.166285714;2;1;1;3;1;1;1;0
13119052303;5;0;1;1;0;21;1;0;0;1;0;0;0.5;0.388;1;1;1;2;1;0;1;0
13119059555;5;0;1;1;0;31;1;0;0;0;0;0;0.664;0.332;3;1;0;2;1;1;1;0
13119042523;2;1;1;1;0;28;0;0;1;0;0;0;1.164;0.4375;3;1;1;2;1;1;1;0
13119058412;1;0;1;1;0;21;0;0;1;0;1;0;0.5;0.125;2;0;0;3;0;0;1;0
13119054181;3;1;1;0;0;29;1;0;0;1;0;0;1.164;0.5625;3;1;0;3;1;1;1;0
13119040067;3;0;1;1;0;42;0;0;1;0;0;1;0.5;0.291;2;1;0;3;1;1;0;0
13119028876;4;1;1;1;1;31;1;0;0;0;0;0;2.25;1.17;4;1;0;5;1;1;1;1
13119060580;4;0;1;0;1;27;0;1;0;0;1;0;0.5;0.1328;2;0;0;2;0;1;1;1
13119052628;3;1;1;1;0;28;1;0;0;0;0;0;2.25;2.1;3;0;0;4;1;1;1;0
13119057644;3;1;1;1;0;45;1;0;0;0;0;0;2.25;0.45;3;0;1;4;1;0;0;0
13119028353;3;1;1;1;0;20;0;0;1;0;0;0;1.75;1.05;3;1;0;3;1;1;1;0
13119039187;3;1;1;1;0;40;1;0;0;0;0;0;2.25;0.75;3;1;0;3;1;1;1;0
13119046894;2;0;1;1;0;18;0;0;1;0;0;1;0.664;0.332;2;0;0;2;1;1;1;0
13119045393;3;0;1;1;0;26;0;0;0;1;0;0;0.664;0.6;3;1;0;4;0;0;1;0
13119017026;2;1;1;1;0;36;0;0;1;0;0;0;3;0.84;3;1;0;4;1;1;1;0
13119026669;3;1;1;1;1;31;0;0;1;0;0;0;1.164;0.75;2;1;0;4;1;1;1;1
13119039341;1;1;1;1;0;22;0;1;0;0;0;0;1.75;0.75;3;0;0;3;1;1;1;0
13119047331;1;1;0;1;0;27;0;1;0;0;1;0;0.5;0.083333333;2;0;0;3;1;1;1;0
13119039887;1;1;1;1;0;34;1;0;0;0;0;0;1.75;1;3;1;1;4;1;0;1;0
13119040119;2;0;1;1;0;25;0;1;0;1;0;0;1.75;1;3;0;0;3;1;1;1;0
13119043479;3;0;1;1;0;41;1;0;0;0;0;0;1.164;0.583333333;2;1;0;4;0;0;0;0
13119045008;4;1;1;1;1;30;0;1;0;0;0;0;1.75;1.975;3;1;0;4;1;1;1;1
13119041362;4;1;1;1;1;64;1;0;0;1;0;0;7.9;2.633333333;3;0;1;4;1;0;0;0
13119011473;3;1;1;1;1;25;1;0;0;0;0;0;0.664;0.194;4;0;1;3;1;1;1;1
13119035704;3;1;1;1;0;31;0;0;1;0;0;0;1.75;0.5625;3;1;0;4;1;1;1;0
13119045470;1;1;1;1;0;35;0;0;1;0;0;0;1.164;0.6;3;1;1;3;1;1;1;0
13119044740;3;0;0;0;0;28;1;0;0;0;0;0;2.25;0.75;2;1;1;3;1;1;1;0
13119035269;4;1;1;1;0;42;0;0;1;0;0;0;1.164;0.5;2;1;0;3;1;1;0;0
13119035902;2;0;0;1;1;23;0;0;1;0;0;1;0.5;0.221333333;2;1;1;2;0;0;1;1
13119039546;4;0;1;1;0;22;1;0;0;1;0;0;0.664;0.1328;3;0;1;4;1;1;1;0
13119043673;2;1;1;1;0;36;1;0;0;0;0;0;2.25;0.6;3;1;1;4;1;1;1;0
13119036110;3;0;1;1;0;21;0;1;0;0;0;0;0.664;0.291666667;2;1;0;3;1;1;1;0
13119038947;3;0;1;1;1;30;1;0;0;0;0;0;1.75;0.875;2;0;0;4;1;1;1;1
13119021425;4;1;1;1;1;56;1;0;0;0;0;0;3;0.84;4;1;0;5;1;1;0;0
13119026196;1;0;1;1;0;32;1;0;0;0;0;0;1.164;0.388;2;1;0;2;0;0;1;0
13119044276;3;1;1;1;1;32;0;0;0;0;1;0;0.664;0.221333333;4;1;1;2;1;1;1;1
13119031850;1;0;1;1;1;20;1;0;0;0;1;0;0.5;0.221333333;2;0;0;5;0;0;1;1
13119019448;4;1;0;1;1;40;1;0;0;0;0;0;1.75;0.375;3;1;1;4;1;1;1;1
13119025353;1;1;1;1;0;23;1;0;0;0;0;0;1.75;1.125;4;0;0;4;1;1;1;0
13119018374;4;1;0;1;0;38;0;0;1;0;0;0;1.164;0.375;3;1;1;3;1;1;1;0
13119028190;2;0;1;1;1;23;0;1;0;1;0;0;0.5;0.2328;1;1;1;4;0;1;1;1
13119028349;4;1;0;1;0;29;0;0;1;0;0;1;0.5;0.25;2;0;0;4;1;1;1;0
13119034545;1;0;1;0;0;22;0;1;0;1;0;0;1.164;0.166285714;3;1;0;3;0;1;1;0
13119029239;4;0;1;1;0;22;0;1;0;0;0;0;4.2;1.316666667;3;0;0;4;0;0;1;0
13118993114;1;1;1;1;1;47;1;0;0;1;0;0;5.85;1.58;4;1;0;4;1;1;0;0
13119009687;2;1;0;0;1;19;1;0;0;1;0;0;0.664;0.291;4;1;1;2;1;1;1;1
13119032860;1;1;1;0;1;21;0;1;0;0;0;0;1.164;0.6;3;1;1;3;1;1;1;1
13118995775;1;1;0;0;1;38;1;0;0;1;0;0;5.85;1.316666667;3;1;0;4;1;1;1;1
13118996034;5;1;0;0;0;42;0;1;0;0;0;0;2.25;1.95;3;1;1;4;1;1;0;0
13118991866;3;0;0;1;0;19;0;0;0;0;1;0;0.5;0.1328;2;1;0;2;1;1;1;0
13118992820;5;0;1;1;1;20;0;0;0;0;0;0;0.664;0.125;2;1;0;0;0;0;1;1
13118992470;4;1;1;1;1;31;1;0;0;1;0;0;1.164;0.291;2;1;0;2;1;0;1;1
13119010479;4;0;1;1;0;28;1;0;0;0;0;0;0.664;0.582;3;0;0;3;1;1;1;0
13118987614;5;1;0;0;1;41;1;0;0;0;0;0;2.25;1.4625;4;1;0;4;1;0;0;0
13118993241;4;1;1;1;0;34;1;0;0;0;0;0;1.164;0.4375;3;1;0;3;1;1;1;0
13119012134;2;0;1;0;0;22;0;1;0;0;1;0;0.5;3;4;1;0;2;1;1;1;0
13119015417;1;1;1;1;0;38;1;0;0;0;0;0;1.75;0.84;3;1;0;3;1;1;1;0
13119001231;3;1;1;1;0;34;1;0;0;0;0;0;1.75;0.5625;3;1;0;4;1;1;1;0
13118991787;3;1;1;1;1;36;0;0;1;0;0;0;1.75;1;3;1;0;3;1;1;1;1
13119004128;5;1;1;1;1;62;1;0;0;0;0;0;12;6;4;0;0;4;1;1;0;0
13119009345;3;0;1;1;0;18;0;1;0;0;0;0;0.664;1.17;3;1;0;2;0;1;1;0
13118987797;4;1;0;1;0;54;1;0;0;0;0;0;5.85;1.4625;4;1;0;4;1;1;0;0
13119012714;1;0;1;1;0;26;0;0;0;0;0;0;1.75;0.35;3;1;0;4;1;1;1;0
13119011788;1;0;1;1;0;38;0;0;1;1;0;0;1.164;0.75;3;1;0;4;1;1;1;0
13118989482;3;1;1;1;0;41;1;0;0;0;0;0;1.164;0.4375;3;1;1;4;1;1;0;0
13119008802;3;1;0;1;1;22;0;1;0;0;1;0;4.2;0.6;2;0;0;2;0;1;1;1
13118992845;3;1;0;0;0;32;1;0;0;0;0;0;2.25;1.4625;3;1;0;4;1;1;1;0
13119006990;3;1;1;1;0;36;0;0;1;0;0;1;1.75;0.291;3;1;0;3;1;1;1;0
